Ref,Val,Package,PosX,PosY,Rot,Side
"K1","KEYSW","MXOnly-1U-NoLED",113.506250,-205.430751,0.000000,top
"K2","KEYSW","MXOnly-1U-NoLED",132.556250,-205.430751,0.000000,top
"K3","KEYSW","MXOnly-1U-NoLED",151.606250,-205.430751,0.000000,top
"K4","KEYSW","MXOnly-1U-NoLED",170.656250,-205.430751,0.000000,top
"K5","KEYSW","MXOnly-1U-NoLED",199.381250,-205.430751,0.000000,top
"K6","KEYSW","MXOnly-1U-NoLED",218.431250,-205.430751,0.000000,top
"K7","KEYSW","MXOnly-1U-NoLED",237.481250,-205.430751,0.000000,top
"K8","KEYSW","MXOnly-1U-NoLED",256.531250,-205.430751,0.000000,top
"K9","KEYSW","MXOnly-1U-NoLED",275.581250,-205.430751,0.000000,top
"K10","KEYSW","MXOnly-1U-NoLED",294.631250,-205.430751,0.000000,top
"K11","KEYSW","MXOnly-1U-NoLED",313.681250,-205.430751,0.000000,top
"K12","KEYSW","MXOnly-1U-NoLED",332.731250,-205.430751,0.000000,top
"K13","KEYSW","MXOnly-1U-NoLED",351.781250,-205.430751,0.000000,top
"K14","KEYSW","MXOnly-1U-NoLED",370.831250,-205.430751,0.000000,top
"K15","KEYSW","MXOnly-1U-NoLED",389.881250,-205.430751,0.000000,top
"K16","KEYSW","MXOnly-1U-NoLED",408.931250,-205.430751,0.000000,top
"K17","KEYSW","MXOnly-1U-NoLED",427.981250,-205.430751,0.000000,top
"K18","KEYSW","MXOnly-1U-NoLED",456.556250,-205.430751,0.000000,top
"K19","KEYSW","MXOnly-1U-NoLED",113.506250,-224.480751,0.000000,top
"K20","KEYSW","MXOnly-1U-NoLED",132.556250,-224.631250,0.000000,top
"K21","KEYSW","MXOnly-1U-NoLED",151.606250,-224.480751,0.000000,top
"K22","KEYSW","MXOnly-1U-NoLED",204.143750,-224.480751,0.000000,top
"K23","KEYSW","MXOnly-1U-NoLED",227.956250,-224.480751,0.000000,top
"K24","KEYSW","MXOnly-1U-NoLED",247.006250,-224.480751,0.000000,top
"K25","KEYSW","MXOnly-1U-NoLED",266.056250,-224.480751,0.000000,top
"K26","KEYSW","MXOnly-1U-NoLED",285.106250,-224.480751,0.000000,top
"K27","KEYSW","MXOnly-1U-NoLED",304.156250,-224.480751,0.000000,top
"K28","KEYSW","MXOnly-1U-NoLED",323.206250,-224.480751,0.000000,top
"K29","KEYSW","MXOnly-1U-NoLED",342.256250,-224.480751,0.000000,top
"K30","KEYSW","MXOnly-1U-NoLED",361.306250,-224.480751,0.000000,top
"K31","KEYSW","MXOnly-1U-NoLED",380.356250,-224.480751,0.000000,top
"K32","KEYSW","MXOnly-1U-NoLED",399.406250,-224.480751,0.000000,top
"K33","KEYSW","MXOnly-1U-NoLED",418.456250,-224.480751,0.000000,top
"K34","KEYSW","MXOnly-1U-NoLED",437.506250,-224.480751,0.000000,top
"K35","KEYSW","MXOnly-1U-NoLED",461.318750,-224.480751,0.000000,top
"K36","KEYSW","MXOnly-1U-NoLED",499.268750,-224.631250,0.000000,top
"K37","KEYSW","MXOnly-1U-NoLED",113.506250,-243.530751,0.000000,top
"K38","KEYSW","MXOnly-1U-NoLED",132.556250,-243.530751,0.000000,top
"K39","KEYSW","MXOnly-1U-NoLED",151.606250,-243.530751,0.000000,top
"K40","KEYSW","MXOnly-1U-NoLED",170.656250,-234.005751,0.000000,top
"K41","KEYSW","MXOnly-1U-NoLED",206.525000,-243.530751,0.000000,top
"K42","KEYSW","MXOnly-1U-NoLED",232.718750,-243.530751,0.000000,top
"K43","KEYSW","MXOnly-1U-NoLED",251.768750,-243.530751,0.000000,top
"K44","KEYSW","MXOnly-1U-NoLED",270.818750,-243.530751,0.000000,top
"K45","KEYSW","MXOnly-1U-NoLED",289.868750,-243.530751,0.000000,top
"K46","KEYSW","MXOnly-1U-NoLED",308.918750,-243.530751,0.000000,top
"K47","KEYSW","MXOnly-1U-NoLED",327.968750,-243.530751,0.000000,top
"K48","KEYSW","MXOnly-1U-NoLED",347.018750,-243.530751,0.000000,top
"K49","KEYSW","MXOnly-1U-NoLED",366.068750,-243.530751,0.000000,top
"K50","KEYSW","MXOnly-1U-NoLED",385.118750,-243.530751,0.000000,top
"K51","KEYSW","MXOnly-1U-NoLED",404.168750,-243.530751,0.000000,top
"K52","KEYSW","MXOnly-1U-NoLED",423.218750,-243.530751,0.000000,top
